ts_epoch,vmrss_kb,vmhwm_kb,threads,fds,vm_size_kb,utime_ticks,stime_ticks,mmc_writes_completed,mmc_sectors_written,mmc_ms_writing,loop_writes_completed,loop_sectors_written,loop_ms_writing
1789777356,25528,25528,9,10,1274552,125,17,10233,16072456,43492,8720,519600,16752
1789777357,25528,25528,9,10,1274552,125,17,10233,16072456,43492,8720,519600,16752
1789777358,25528,25528,9,10,1274552,125,17,10233,16072456,43492,8720,519600,16752
1789777359,25608,25608,9,12,1274552,129,17,10243,16072512,43496,8730,519656,16756
1789777360,25628,25628,9,10,1274552,131,17,10243,16072512,43496,8730,519656,16756
1789777361,25628,25628,9,10,1274552,131,17,10243,16072512,43496,8730,519656,16756
1789777362,25804,25804,9,10,1274552,132,17,10243,16072512,43496,8730,519656,16756
1789777363,25804,25804,9,10,1274552,132,17,10243,16072512,43496,8730,519656,16756
1789777364,25820,25820,9,10,1274552,132,18,10243,16072512,43496,8730,519656,16756
1789777365,25820,25820,9,10,1274552,132,18,10243,16072512,43496,8730,519656,16756
1789777366,25828,25828,9,11,1274552,132,18,10243,16072512,43496,8730,519656,16756
1789777367,25828,25828,9,11,1274552,132,18,10243,16072512,43496,8730,519656,16756
1789777368,25836,25836,9,11,1274552,133,18,10243,16072512,43496,8730,519656,16756
1789777369,25836,25836,9,10,1274552,133,18,10243,16072512,43496,8730,519656,16756
1789777370,25836,25836,9,10,1274552,133,18,10243,16072512,43496,8730,519656,16756
1789777371,25836,25836,9,11,1274552,133,18,10243,16072512,43496,8730,519656,16756
1789777372,25836,25836,9,11,1274552,133,18,10243,16072512,43496,8730,519656,16756
1789777373,25836,25836,9,11,1274552,133,18,10243,16072512,43496,8730,519656,16756
1789777374,25836,25836,9,10,1274552,133,18,10243,16072512,43496,8730,519656,16756
1789777375,25880,25880,9,12,1274552,135,18,10243,16072512,43496,8730,519656,16756
1789777376,26004,26004,9,11,1274552,143,18,10260,16072616,43502,8747,519760,16762
1789777377,26004,26004,9,11,1274552,143,18,10260,16072616,43502,8747,519760,16762
1789777378,26004,26004,9,11,1274552,143,18,10260,16072616,43502,8747,519760,16762
1789777379,26004,26004,9,10,1274552,143,18,10260,16072616,43502,8747,519760,16762
1789777380,26004,26004,9,10,1274552,143,18,10260,16072616,43502,8747,519760,16762
1789777381,26004,26004,9,10,1274552,143,18,10260,16072616,43502,8747,519760,16762
1789777383,26004,26004,9,10,1274552,143,18,10260,16072616,43502,8747,519760,16762
1789777384,26004,26004,9,10,1274552,143,18,10260,16072616,43502,8747,519760,16762
